Index;Size;Sick;Death;mindays;maxSickDays;Total;Dead;Immune;Infected;Healthy;Epidemic
9;40;0.0208;0.0;6;69;1600;0;1594;0;6;1
0;40;0.0209;0.0;6;15;1600;0;3;0;1597;0
1;40;0.0209;0.0;6;21;1600;0;1329;0;271;1
2;40;0.0209;0.0;6;27;1600;0;1461;0;139;1
3;40;0.0209;0.0;6;33;1600;0;1526;0;74;1
4;40;0.0209;0.0;6;39;1600;0;1559;0;41;1
5;40;0.0209;0.0;6;45;1600;0;1577;0;23;1
6;40;0.0209;0.0;6;51;1600;0;1591;0;9;1
7;40;0.0209;0.0;6;57;1600;0;1589;0;11;1
8;40;0.0209;0.0;6;63;1600;0;1593;0;7;1
9;40;0.0209;0.0;6;69;1600;0;1591;0;9;1
0;40;0.021;0.0;6;15;1600;0;3;0;1597;0
1;40;0.021;0.0;6;21;1600;0;1055;0;545;1
2;40;0.021;0.0;6;27;1600;0;1457;0;143;1
3;40;0.021;0.0;6;33;1600;0;1496;0;104;1
4;40;0.021;0.0;6;39;1600;0;1566;0;34;1
5;40;0.021;0.0;6;45;1600;0;1577;0;23;1
6;40;0.021;0.0;6;51;1600;0;1589;0;11;1
7;40;0.021;0.0;6;57;1600;0;1593;0;7;1
8;40;0.021;0.0;6;63;1600;0;1594;0;6;1
9;40;0.021;0.0;6;69;1600;0;1592;0;8;1
0;40;0.0211;0.0;6;15;1600;0;3;0;1597;0
1;40;0.0211;0.0;6;21;1600;0;1181;0;419;1
2;40;0.0211;0.0;6;27;1600;0;1464;0;136;1
3;40;0.0211;0.0;6;33;1600;0;1536;0;64;1
4;40;0.0211;0.0;6;39;1600;0;1569;0;31;1
5;40;0.0211;0.0;6;45;1600;0;1568;0;32;1
6;40;0.0211;0.0;6;51;1600;0;1588;0;12;1
7;40;0.0211;0.0;6;57;1600;0;1593;0;7;1
8;40;0.0211;0.0;6;63;1600;0;1593;0;7;1
9;40;0.0211;0.0;6;69;1600;0;1598;0;2;1
0;40;0.0212;0.0;6;15;1600;0;3;0;1597;0
1;40;0.0212;0.0;6;21;1600;0;1120;0;480;1
2;40;0.0212;0.0;6;27;1600;0;1467;0;133;1
3;40;0.0212;0.0;6;33;1600;0;1492;0;108;1
4;40;0.0212;0.0;6;39;1600;0;1561;0;39;1
5;40;0.0212;0.0;6;45;1600;0;1576;0;24;1
6;40;0.0212;0.0;6;51;1600;0;1587;0;13;1
7;40;0.0212;0.0;6;57;1600;0;1580;0;20;1
8;40;0.0212;0.0;6;63;1600;0;1592;0;8;1
9;40;0.0212;0.0;6;69;1600;0;1597;0;3;1
0;40;0.0213;0.0;6;15;1600;0;3;0;1597;0
1;40;0.0213;0.0;6;21;1600;0;1072;0;528;1
2;40;0.0213;0.0;6;27;1600;0;1467;0;133;1
3;40;0.0213;0.0;6;33;1600;0;1510;0;90;1
4;40;0.0213;0.0;6;39;1600;0;1554;0;46;1
5;40;0.0213;0.0;6;45;1600;0;1581;0;19;1
6;40;0.0213;0.0;6;51;1600;0;1586;0;14;1
7;40;0.0213;0.0;6;57;1600;0;1594;0;6;1
8;40;0.0213;0.0;6;63;1600;0;1597;0;3;1
9;40;0.0213;0.0;6;69;1600;0;1598;0;2;1
0;40;0.0214;0.0;6;15;1600;0;3;0;1597;0
1;40;0.0214;0.0;6;21;1600;0;1268;0;332;1
2;40;0.0214;0.0;6;27;1600;0;1283;0;317;1
3;40;0.0214;0.0;6;33;1600;0;1546;0;54;1
4;40;0.0214;0.0;6;39;1600;0;1564;0;36;1
5;40;0.0214;0.0;6;45;1600;0;1575;0;25;1
6;40;0.0214;0.0;6;51;1600;0;1592;0;8;1
7;40;0.0214;0.0;6;57;1600;0;1591;0;9;1
