Size;Sick;Death;mindays;maxSickDays;Total;Dead;Immune;Infected;Healthy;Epidemic
40;0.03;0.01;6;15;1600;140;906;0;554;1
40;0.03;0.02;6;15;1600;258;928;0;414;1
40;0.03;0.03;6;15;1600;2;1;0;1597;0
40;0.03;0.04;6;15;1600;2;1;0;1597;0
40;0.03;0.05;6;15;1600;2;1;0;1597;0
40;0.03;0.06;6;15;1600;2;1;0;1597;0
40;0.03;0.07;6;15;1600;2;1;0;1597;0
40;0.03;0.08;6;15;1600;2;1;0;1597;0
40;0.03;0.09;6;15;1600;2;1;0;1597;0
40;0.03;0.1;6;15;1600;2;1;0;1597;0
40;0.03;0.11;6;15;1600;35;6;0;1559;0
40;0.03;0.12;6;15;1600;9;1;0;1590;0
40;0.03;0.13;6;15;1600;10;0;0;1590;0
40;0.03;0.14;6;15;1600;10;0;0;1590;0
40;0.03;0.15;6;15;1600;10;0;0;1590;0
40;0.03;0.16;6;15;1600;10;0;0;1590;0
40;0.03;0.17;6;15;1600;7;1;0;1592;0
40;0.03;0.18;6;15;1600;7;1;0;1592;0
40;0.03;0.19;6;15;1600;7;1;0;1592;0
40;0.03;0.2;6;15;1600;7;1;0;1592;0
40;0.03;0.21;6;15;1600;7;1;0;1592;0
40;0.03;0.22;6;15;1600;7;1;0;1592;0
40;0.03;0.23;6;15;1600;7;1;0;1592;0
40;0.03;0.24;6;15;1600;7;1;0;1592;0
40;0.03;0.25;6;15;1600;7;1;0;1592;0
40;0.03;0.26;6;15;1600;7;1;0;1592;0
40;0.03;0.27;6;15;1600;7;1;0;1592;0
40;0.03;0.28;6;15;1600;7;1;0;1592;0
40;0.03;0.29;6;15;1600;7;1;0;1592;0
40;0.03;0.3;6;15;1600;7;1;0;1592;0
40;0.03;0.31;6;15;1600;6;1;0;1593;0
40;0.03;0.32;6;15;1600;6;1;0;1593;0
40;0.03;0.33;6;15;1600;6;1;0;1593;0
40;0.03;0.34;6;15;1600;6;1;0;1593;0
40;0.03;0.35;6;15;1600;6;1;0;1593;0
40;0.03;0.36;6;15;1600;5;0;0;1595;0
40;0.03;0.37;6;15;1600;5;0;0;1595;0
40;0.03;0.38;6;15;1600;5;0;0;1595;0
40;0.03;0.39;6;15;1600;5;0;0;1595;0
40;0.03;0.4;6;15;1600;5;0;0;1595;0
40;0.03;0.41;6;15;1600;5;0;0;1595;0
40;0.03;0.42;6;15;1600;5;0;0;1595;0
40;0.03;0.43;6;15;1600;5;0;0;1595;0
40;0.03;0.44;6;15;1600;5;0;0;1595;0
40;0.03;0.45;6;15;1600;5;0;0;1595;0
40;0.03;0.46;6;15;1600;5;0;0;1595;0
40;0.03;0.47;6;15;1600;5;0;0;1595;0
40;0.03;0.48;6;15;1600;1;0;0;1599;0
40;0.03;0.49;6;15;1600;1;0;0;1599;0
40;0.04;0.01;6;15;1600;169;1339;0;92;1
40;0.04;0.02;6;15;1600;326;1149;0;125;1
40;0.04;0.03;6;15;1600;2;1;0;1597;0
40;0.04;0.04;6;15;1600;2;1;0;1597;0
40;0.04;0.05;6;15;1600;2;1;0;1597;0
40;0.04;0.06;6;15;1600;2;1;0;1597;0
40;0.04;0.07;6;15;1600;2;1;0;1597;0
40;0.04;0.08;6;15;1600;2;1;0;1597;0
40;0.04;0.09;6;15;1600;2;1;0;1597;0
40;0.04;0.1;6;15;1600;2;1;0;1597;0
40;0.04;0.11;6;15;1600;99;30;0;1471;0
40;0.04;0.12;6;15;1600;119;38;0;1443;0
40;0.04;0.13;6;15;1600;50;13;0;1537;0
40;0.04;0.14;6;15;1600;115;32;0;1453;0
40;0.04;0.15;6;15;1600;79;16;0;1505;0
40;0.04;0.16;6;15;1600;42;8;0;1550;0
40;0.04;0.17;6;15;1600;48;8;0;1544;0
40;0.04;0.18;6;15;1600;60;8;0;1532;0
40;0.04;0.19;6;15;1600;66;11;0;1523;0
40;0.04;0.2;6;15;1600;72;11;0;1517;0
40;0.04;0.21;6;15;1600;63;6;0;1531;0
40;0.04;0.22;6;15;1600;23;0;0;1577;0
40;0.04;0.23;6;15;1600;23;0;0;1577;0
40;0.04;0.24;6;15;1600;16;1;0;1583;0
40;0.04;0.25;6;15;1600;57;2;0;1541;0
40;0.04;0.26;6;15;1600;33;2;0;1565;0
40;0.04;0.27;6;15;1600;26;0;0;1574;0
40;0.04;0.28;6;15;1600;22;1;0;1577;0
40;0.04;0.29;6;15;1600;8;2;0;1590;0
40;0.04;0.3;6;15;1600;8;2;0;1590;0
40;0.04;0.31;6;15;1600;8;2;0;1590;0
40;0.04;0.32;6;15;1600;8;2;0;1590;0
40;0.04;0.33;6;15;1600;8;2;0;1590;0
40;0.04;0.34;6;15;1600;9;1;0;1590;0
40;0.04;0.35;6;15;1600;9;1;0;1590;0
40;0.04;0.36;6;15;1600;7;0;0;1593;0
40;0.04;0.37;6;15;1600;7;0;0;1593;0
40;0.04;0.38;6;15;1600;7;0;0;1593;0
40;0.04;0.39;6;15;1600;7;0;0;1593;0
40;0.04;0.4;6;15;1600;7;0;0;1593;0
40;0.04;0.41;6;15;1600;7;0;0;1593;0
40;0.04;0.42;6;15;1600;7;0;0;1593;0
40;0.04;0.43;6;15;1600;7;0;0;1593;0
40;0.04;0.44;6;15;1600;7;0;0;1593;0
40;0.04;0.45;6;15;1600;8;0;0;1592;0
40;0.04;0.46;6;15;1600;8;0;0;1592;0
40;0.04;0.47;6;15;1600;8;0;0;1592;0
40;0.04;0.48;6;15;1600;1;0;0;1599;0
40;0.04;0.49;6;15;1600;1;0;0;1599;0
40;0.05;0.01;6;15;1600;182;1399;0;19;1
40;0.05;0.02;6;15;1600;305;1230;0;65;1
40;0.05;0.03;6;15;1600;483;1043;0;74;1
40;0.05;0.04;6;15;1600;568;964;0;68;1
40;0.05;0.05;6;15;1600;4;2;0;1594;0
40;0.05;0.06;6;15;1600;4;2;0;1594;0
40;0.05;0.07;6;15;1600;4;2;0;1594;0
40;0.05;0.08;6;15;1600;4;2;0;1594;0
40;0.05;0.09;6;15;1600;4;2;0;1594;0
40;0.05;0.1;6;15;1600;4;2;0;1594;0
40;0.05;0.11;6;15;1600;517;156;0;927;0
40;0.05;0.12;6;15;1600;254;56;0;1290;0
40;0.05;0.13;6;15;1600;345;79;0;1176;0
40;0.05;0.14;6;15;1600;437;83;0;1080;0
40;0.05;0.15;6;15;1600;230;53;0;1317;0
40;0.05;0.16;6;15;1600;390;80;0;1130;0
40;0.05;0.17;6;15;1600;85;6;0;1509;0
40;0.05;0.18;6;15;1600;85;6;0;1509;0
40;0.05;0.19;6;15;1600;207;21;0;1372;0
40;0.05;0.2;6;15;1600;134;9;0;1457;0
40;0.05;0.21;6;15;1600;134;10;0;1456;0
40;0.05;0.22;6;15;1600;123;8;0;1469;0
40;0.05;0.23;6;15;1600;148;9;0;1443;0
40;0.05;0.24;6;15;1600;97;4;0;1499;0
40;0.05;0.25;6;15;1600;106;3;0;1491;0
40;0.05;0.26;6;15;1600;34;1;0;1565;0
40;0.05;0.27;6;15;1600;34;1;0;1565;0
40;0.05;0.28;6;15;1600;34;1;0;1565;0
40;0.05;0.29;6;15;1600;66;1;0;1533;0
40;0.05;0.3;6;15;1600;98;3;0;1499;0
40;0.05;0.31;6;15;1600;42;0;0;1558;0
40;0.05;0.32;6;15;1600;60;1;0;1539;0
40;0.05;0.33;6;15;1600;68;2;0;1530;0
40;0.05;0.34;6;15;1600;32;0;0;1568;0
40;0.05;0.35;6;15;1600;44;0;0;1556;0
40;0.05;0.36;6;15;1600;38;2;0;1560;0
40;0.05;0.37;6;15;1600;41;2;0;1557;0
40;0.05;0.38;6;15;1600;8;0;0;1592;0
40;0.05;0.39;6;15;1600;8;0;0;1592;0
40;0.05;0.4;6;15;1600;8;0;0;1592;0
40;0.05;0.41;6;15;1600;8;0;0;1592;0
40;0.05;0.42;6;15;1600;8;0;0;1592;0
40;0.05;0.43;6;15;1600;8;0;0;1592;0
40;0.05;0.44;6;15;1600;8;0;0;1592;0
40;0.05;0.45;6;15;1600;8;0;0;1592;0
40;0.05;0.46;6;15;1600;8;0;0;1592;0
40;0.05;0.47;6;15;1600;8;0;0;1592;0
40;0.05;0.48;6;15;1600;1;0;0;1599;0
40;0.05;0.49;6;15;1600;1;0;0;1599;0
40;0.06;0.01;6;15;1600;187;1397;0;16;1
40;0.06;0.02;6;15;1600;342;1240;0;18;1
40;0.06;0.03;6;15;1600;492;1083;0;25;1
40;0.06;0.04;6;15;1600;602;963;0;35;1
40;0.06;0.05;6;15;1600;693;853;0;54;1
